episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[5, 2, 0, 2, 0]",0.0,8,8,12,8,12,not_applicable,False,0,0,"{'base': np.float64(0.23654018528566523), 'final': np.float64(0.23654018528566523), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,3,6,4,7,4,7,3,9,4,5,13,6,12,6,13,8,12,8,13
0,2,"[0, 3, 3, 4, 1]",0.0,8,8,12,8,12,shot_failed,True,0,0,"{'base': np.float64(0.23654018528566523), 'final': np.float64(0.23654018528566523), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,2,5,4,8,4,8,3,9,5,4,13,6,12,6,13,8,12,9,13
1,3,"[3, 3, 1, 1, 0]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,3,6,4,7,4,7,3,9,4,5,13,6,13,7,13,8,13,9,13
1,4,"[2, 2, 3, 1, 2]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': np.float64(0.23257689450206726), 'final': np.float64(0.23257689450206726), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,4,5,4,6,4,6,3,8,4,5,12,6,12,7,13,8,13,9,12
1,5,"[5, 0, 2, 3, 2]",0.0,7,7,12,7,12,not_applicable,False,0,0,"{'base': np.float64(0.23788346092466214), 'final': np.float64(0.23788346092466214), 'penalty': 0, 'defense_count': 0, 'defenders': []}",3,4,5,5,6,5,6,2,9,4,5,12,6,12,7,12,8,13,9,11
1,6,"[2, 1, 3, 3, 2]",0.0,7,7,13,7,13,not_applicable,False,0,0,"{'base': np.float64(0.2074101705543697), 'final': np.float64(0.2074101705543697), 'penalty': 0, 'defense_count': 0, 'defenders': []}",2,4,4,5,7,5,6,1,10,4,5,11,6,12,7,13,8,13,9,10
1,7,"[1, 2, 2, 0, 1]",0.0,7,7,12,7,12,not_applicable,False,0,0,"{'base': np.float64(0.23788346092466214), 'final': np.float64(0.23788346092466214), 'penalty': 0, 'defense_count': 0, 'defenders': []}",2,3,3,5,7,4,6,2,11,4,6,11,6,12,7,12,7,13,10,10
1,8,"[0, 2, 4, 3, 0]",-1.0,7,7,12,7,12,intercepted_shot,True,0,0,"{'base': np.float64(0.23788346092466214), 'final': np.float64(0.23788346092466214), 'penalty': 0, 'defense_count': 0, 'defenders': []}",2,3,3,5,7,4,6,2,11,4,5,11,6,11,7,12,7,13,10,10
2,9,"[5, 1, 1, 1, 0]",0.0,6,6,13,6,13,not_applicable,False,0,0,"{'base': np.float64(0.20631563059364366), 'final': np.float64(0.20631563059364366), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,6,4,7,2,8,2,8,3,5,13,6,13,7,13,8,13,9,13
2,10,"[0, 3, 0, 0, 1]",0.0,6,6,13,6,13,not_applicable,False,0,0,"{'base': np.float64(0.20631563059364366), 'final': np.float64(0.20631563059364366), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,3,7,4,7,3,7,2,9,3,4,13,6,13,7,13,8,13,10,13
2,11,"[2, 0, 0, 0, 2]",0.0,6,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,2,8,4,6,3,7,3,8,3,4,12,5,13,6,13,7,13,10,12
2,12,"[2, 4, 0, 2, 2]",0.0,6,5,13,5,13,shot_failed,True,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,3,7,4,6,4,6,3,9,3,4,11,5,13,6,13,7,12,10,11
3,13,"[0, 0, 0, 1, 1]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,5,3,6,3,8,2,9,4,4,13,5,13,6,13,8,13,10,13
3,14,"[3, 0, 0, 2, 0]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,5,4,3,7,3,7,2,8,4,4,13,5,13,6,13,8,12,9,13
3,15,"[3, 3, 1, 2, 1]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,4,2,8,3,6,2,8,5,4,13,5,13,7,13,8,11,10,13
3,16,"[2, 1, 1, 3, 2]",0.0,5,4,12,4,12,not_applicable,False,0,0,"{'base': np.float64(0.22618655352128306), 'final': np.float64(0.22618655352128306), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,5,4,3,8,4,6,1,8,6,4,12,6,13,8,13,8,12,10,12
3,17,"[3, 0, 3, 2, 2]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,6,5,3,8,3,5,1,8,7,4,13,5,13,8,13,8,11,10,11
3,18,"[1, 1, 0, 1, 0]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,6,4,3,8,2,4,1,9,7,4,13,6,13,7,13,9,11,10,11
3,19,"[4, 2, 0, 2, 3]",-1.0,5,4,13,4,13,intercepted_shot,True,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,6,4,3,8,2,4,1,9,7,4,13,6,13,7,13,9,11,10,11
