GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYER_POSITION
Shot Chart Detail,0022400016,42,201935,James Harden,1610612746,LA Clippers,1,7,59,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,18,278,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,49,201935,James Harden,1610612746,LA Clippers,1,7,25,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,224,120,1,1,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,66,201935,James Harden,1610612746,LA Clippers,1,5,39,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-64,247,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,120,201935,James Harden,1610612746,LA Clippers,1,2,47,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-7,259,1,1,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,135,201935,James Harden,1610612746,LA Clippers,1,2,21,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,4,1,1,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,151,201935,James Harden,1610612746,LA Clippers,1,1,5,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,39,262,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,268,201935,James Harden,1610612746,LA Clippers,2,4,12,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-6,265,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,307,201935,James Harden,1610612746,LA Clippers,2,0,34,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,20,1,1,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,379,201935,James Harden,1610612746,LA Clippers,3,8,3,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,0,163,1,1,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,392,201935,James Harden,1610612746,LA Clippers,3,6,31,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,80,235,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,419,201935,James Harden,1610612746,LA Clippers,3,4,21,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-104,66,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,437,201935,James Harden,1610612746,LA Clippers,3,3,27,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,9,62,1,1,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,449,201935,James Harden,1610612746,LA Clippers,3,2,36,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,126,222,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,463,201935,James Harden,1610612746,LA Clippers,3,0,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,26,1,1,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400034,21,201935,James Harden,1610612746,LA Clippers,1,10,13,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,96,246,1,0,20241122,LAC,SAC,Guard
