GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYER_POSITION
Shot Chart Detail,0022400486,24,202695,Kawhi Leonard,1610612746,LA Clippers,1,9,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-212,179,1,1,20250104,LAC,ATL,Forward
Shot Chart Detail,0022400486,54,202695,Kawhi Leonard,1610612746,LA Clippers,1,7,20,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,99,-2,1,0,20250104,LAC,ATL,Forward
Shot Chart Detail,0022400486,82,202695,Kawhi Leonard,1610612746,LA Clippers,1,5,17,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20250104,LAC,ATL,Forward
Shot Chart Detail,0022400486,209,202695,Kawhi Leonard,1610612746,LA Clippers,2,9,8,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,21,1,0,20250104,LAC,ATL,Forward
Shot Chart Detail,0022400486,268,202695,Kawhi Leonard,1610612746,LA Clippers,2,5,2,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-165,225,1,1,20250104,LAC,ATL,Forward
Shot Chart Detail,0022400486,294,202695,Kawhi Leonard,1610612746,LA Clippers,2,3,50,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-16,27,1,0,20250104,LAC,ATL,Forward
Shot Chart Detail,0022400486,298,202695,Kawhi Leonard,1610612746,LA Clippers,2,3,32,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-17,39,1,0,20250104,LAC,ATL,Forward
Shot Chart Detail,0022400486,314,202695,Kawhi Leonard,1610612746,LA Clippers,2,1,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,123,236,1,1,20250104,LAC,ATL,Forward
Shot Chart Detail,0022400486,368,202695,Kawhi Leonard,1610612746,LA Clippers,3,10,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-202,176,1,0,20250104,LAC,ATL,Forward
Shot Chart Detail,0022400486,382,202695,Kawhi Leonard,1610612746,LA Clippers,3,8,54,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,26,82,1,1,20250104,LAC,ATL,Forward
Shot Chart Detail,0022400486,387,202695,Kawhi Leonard,1610612746,LA Clippers,3,8,31,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,208,163,1,0,20250104,LAC,ATL,Forward
Shot Chart Detail,0022400500,36,202695,Kawhi Leonard,1610612746,LA Clippers,1,10,0,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,5,110,1,0,20250106,MIN,LAC,Forward
Shot Chart Detail,0022400500,40,202695,Kawhi Leonard,1610612746,LA Clippers,1,9,22,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,97,41,1,0,20250106,MIN,LAC,Forward
Shot Chart Detail,0022400500,56,202695,Kawhi Leonard,1610612746,LA Clippers,1,7,40,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,114,221,1,1,20250106,MIN,LAC,Forward
Shot Chart Detail,0022400500,71,202695,Kawhi Leonard,1610612746,LA Clippers,1,6,27,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-31,203,1,0,20250106,MIN,LAC,Forward
Shot Chart Detail,0022400500,94,202695,Kawhi Leonard,1610612746,LA Clippers,1,5,27,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20250106,MIN,LAC,Forward
Shot Chart Detail,0022400500,97,202695,Kawhi Leonard,1610612746,LA Clippers,1,5,9,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-188,157,1,0,20250106,MIN,LAC,Forward
Shot Chart Detail,0022400500,105,202695,Kawhi Leonard,1610612746,LA Clippers,1,3,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-195,140,1,1,20250106,MIN,LAC,Forward
Shot Chart Detail,0022400500,271,202695,Kawhi Leonard,1610612746,LA Clippers,2,2,22,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,118,9,1,0,20250106,MIN,LAC,Forward
