GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYER_POSITION
Shot Chart Detail,0022400016,9,1626181,Norman Powell,1610612746,LA Clippers,1,11,32,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-140,239,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,31,1626181,Norman Powell,1610612746,LA Clippers,1,9,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,4,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,58,1626181,Norman Powell,1610612746,LA Clippers,1,6,41,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-218,73,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,280,1626181,Norman Powell,1610612746,LA Clippers,2,2,48,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,40,37,1,1,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,286,1626181,Norman Powell,1610612746,LA Clippers,2,1,50,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,103,239,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,333,1626181,Norman Powell,1610612746,LA Clippers,3,10,57,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-53,267,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,345,1626181,Norman Powell,1610612746,LA Clippers,3,10,14,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-25,73,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,359,1626181,Norman Powell,1610612746,LA Clippers,3,9,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-239,-15,1,1,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,396,1626181,Norman Powell,1610612746,LA Clippers,3,6,10,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,54,255,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,440,1626181,Norman Powell,1610612746,LA Clippers,3,3,3,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,132,106,1,0,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400016,456,1626181,Norman Powell,1610612746,LA Clippers,3,1,50,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,25,1,1,20241115,HOU,LAC,Guard
Shot Chart Detail,0022400060,7,1626181,Norman Powell,1610612746,LA Clippers,1,11,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,31,1,1,20241203,LAC,POR,Guard
Shot Chart Detail,0022400060,10,1626181,Norman Powell,1610612746,LA Clippers,1,11,1,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,21,279,1,1,20241203,LAC,POR,Guard
Shot Chart Detail,0022400060,34,1626181,Norman Powell,1610612746,LA Clippers,1,8,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-156,225,1,1,20241203,LAC,POR,Guard
Shot Chart Detail,0022400060,46,1626181,Norman Powell,1610612746,LA Clippers,1,6,43,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-148,226,1,1,20241203,LAC,POR,Guard
Shot Chart Detail,0022400060,191,1626181,Norman Powell,1610612746,LA Clippers,2,8,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,23,1,1,20241203,LAC,POR,Guard
Shot Chart Detail,0022400060,206,1626181,Norman Powell,1610612746,LA Clippers,2,7,30,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,103,238,1,0,20241203,LAC,POR,Guard
Shot Chart Detail,0022400060,218,1626181,Norman Powell,1610612746,LA Clippers,2,6,30,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-2,39,1,1,20241203,LAC,POR,Guard
Shot Chart Detail,0022400060,275,1626181,Norman Powell,1610612746,LA Clippers,2,1,54,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,21,1,1,20241203,LAC,POR,Guard
Shot Chart Detail,0022400060,334,1626181,Norman Powell,1610612746,LA Clippers,3,9,31,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-183,168,1,0,20241203,LAC,POR,Guard
