episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,player_name,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
0,1,"[5, 0, 1, 1, 3]",0.0,8,8,13,8,13,not_applicable,False,0,0,"{'base': 0.22, 'final': 0.22, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,5,2,5,3,7,2,7,3,9,2,5,13,6,13,7,13,8,13,9,13
0,2,"[3, 3, 0, 0, 2]",0.0,8,8,13,8,13,not_applicable,False,0,0,"{'base': 0.22, 'final': 0.22, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,6,2,4,3,8,2,7,4,9,1,5,13,6,13,7,13,8,13,9,12
0,3,"[2, 1, 0, 1, 2]",0.0,8,9,13,9,13,not_applicable,False,0,0,"{'base': 0.2, 'final': 0.2, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,5,2,3,3,8,3,7,5,10,1,5,12,6,13,7,13,9,13,9,11
0,4,"[1, 2, 0, 5, 0]",0.0,9,8,11,8,11,not_applicable,False,0,0,"{'base': 0.43, 'final': 0.43, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,5,1,3,2,7,3,6,5,10,0,6,12,6,13,7,13,9,13,8,11
0,5,"[3, 2, 0, 3, 2]",0.0,9,8,10,8,10,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,6,1,2,2,7,2,7,5,10,1,6,12,6,13,7,13,9,13,8,10
0,6,"[3, 2, 1, 2, 5]",0.0,7,8,13,8,13,not_applicable,False,0,0,"{'base': 0.38, 'final': 0.38, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,6,2,2,3,7,3,7,4,10,2,6,12,6,13,8,13,9,12,8,10
0,7,"[2, 2, 2, 2, 0]",0.0,7,8,12,8,12,not_applicable,False,0,0,"{'base': 0.43, 'final': 0.43, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,6,1,1,3,6,3,8,4,9,2,6,11,6,12,8,12,9,11,7,10
0,8,"[3, 1, 2, 0, 1]",0.0,7,8,11,8,11,not_applicable,False,0,0,"{'base': 0.45, 'final': 0.45, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,6,0,1,4,6,2,8,3,8,2,6,11,7,12,8,11,9,11,8,10
0,9,"[1, 3, 2, 0, 2]",0.0,7,8,11,8,11,not_applicable,False,0,0,"{'base': 0.45, 'final': 0.45, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,6,1,0,4,7,2,7,3,8,1,7,11,7,13,8,11,9,11,8,9
0,10,"[0, 0, 4, 0, 3]",1.350000023841858,7,8,11,8,11,shot_successful,True,3,0,"{'base': 0.45, 'final': 0.45, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,5,1,0,5,7,1,6,3,8,2,6,11,6,13,8,11,9,11,8,10
1,11,"[5, 2, 1, 1, 2]",0.0,8,8,13,8,13,not_applicable,False,0,0,"{'base': 0.22, 'final': 0.22, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,5,2,6,2,6,3,7,3,8,3,5,13,6,12,7,13,8,13,9,12
1,12,"[2, 3, 3, 1, 3]",0.0,8,9,13,9,13,not_applicable,False,0,0,"{'base': 0.2, 'final': 0.2, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,5,1,7,2,6,4,7,4,8,2,5,12,6,13,7,13,9,13,9,12
1,13,"[0, 2, 2, 4, 2]",0.0,8,9,13,9,13,shot_failed,True,0,0,"{'base': 0.2, 'final': 0.2, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,6,1,6,2,6,5,6,4,9,2,4,12,6,12,7,12,9,13,9,11
2,14,"[2, 1, 3, 0, 3]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,6,4,7,2,8,4,9,2,5,12,6,13,7,13,8,13,9,13
2,15,"[2, 0, 0, 0, 1]",0.0,5,5,11,5,11,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,5,6,5,7,3,8,5,9,1,5,11,5,13,6,13,7,13,10,13
2,16,"[1, 1, 0, 0, 1]",0.0,5,6,11,6,11,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,6,6,6,3,9,5,9,2,6,11,5,13,6,13,7,13,11,13
2,17,"[4, 0, 1, 3, 0]",0.7799999713897705,5,6,11,6,11,shot_successful,True,3,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,6,4,6,7,6,2,9,6,10,2,6,11,4,13,6,13,7,13,10,13
3,18,"[4, 0, 1, 2, 3]",0.0,5,5,13,5,13,shot_failed,True,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,6,2,7,2,8,4,9,4,5,13,6,13,7,13,8,12,9,13
4,19,"[1, 0, 3, 1, 3]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,3,6,4,7,4,8,4,10,3,5,13,6,13,7,13,8,13,9,13
4,20,"[1, 3, 1, 0, 2]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,4,5,4,7,3,8,5,10,4,5,13,6,13,7,13,8,13,9,12
4,21,"[1, 1, 3, 0, 0]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,5,4,4,6,3,9,5,10,3,5,13,6,13,7,13,8,13,8,12
4,22,"[2, 0, 2, 1, 2]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,5,3,4,6,2,9,6,10,4,5,12,5,13,7,12,9,13,8,11
4,23,"[4, 2, 3, 0, 2]",0.0,5,5,12,5,12,shot_failed,True,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,4,4,7,2,9,7,11,4,5,12,5,13,7,13,8,13,8,10
5,24,"[1, 3, 2, 1, 2]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,2,6,4,6,3,7,3,8,3,5,13,6,13,7,12,8,13,9,12
5,25,"[5, 0, 0, 1, 3]",0.0,9,9,12,9,12,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,4,2,7,4,6,4,7,2,8,2,5,13,6,13,6,12,9,13,9,12
5,26,"[1, 2, 1, 2, 1]",0.0,9,10,12,10,12,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,3,2,8,4,5,4,6,2,7,2,5,13,6,13,7,12,9,13,10,12
5,27,"[0, 1, 3, 0, 0]",0.0,9,9,12,9,12,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,2,2,9,4,4,4,6,1,6,2,4,13,7,13,7,12,8,13,9,12
5,28,"[3, 0, 1, 0, 4]",0.0,9,9,12,9,12,shot_failed,True,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,2,3,9,5,5,4,6,0,6,1,4,13,6,13,8,12,7,13,9,12
6,29,"[0, 2, 0, 0, 2]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,3,6,2,6,3,8,4,10,3,4,13,6,12,6,13,7,13,9,12
6,30,"[1, 1, 3, 1, 3]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,3,6,1,6,4,7,4,9,3,5,13,7,12,6,13,8,13,9,13
6,31,"[4, 1, 3, 0, 3]",0.0,5,5,13,5,13,shot_failed,True,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,6,3,6,2,5,4,7,3,8,3,5,13,8,12,6,13,7,13,9,13
7,32,"[4, 1, 2, 3, 0]",0.7799999713897705,5,5,13,5,13,shot_successful,True,3,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,3,6,2,7,4,8,4,8,3,5,13,6,13,7,12,8,13,9,13
8,33,"[0, 3, 3, 2, 3]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,2,6,4,6,3,8,2,10,3,4,13,6,13,7,13,8,12,9,13
8,34,"[2, 3, 0, 1, 1]",0.0,5,4,12,4,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,2,7,4,5,3,9,2,10,2,4,12,6,13,7,13,9,12,10,13
8,35,"[2, 3, 0, 3, 1]",0.0,5,4,11,4,11,not_applicable,False,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,1,7,5,6,3,9,3,10,1,4,11,6,13,7,13,9,13,11,13
8,36,"[3, 3, 1, 3, 0]",0.0,5,4,12,4,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,3,1,6,5,6,4,9,2,10,0,4,12,6,13,8,13,9,13,10,13
8,37,"[0, 3, 2, 2, 2]",0.0,5,3,12,3,12,not_applicable,False,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,3,0,5,5,6,5,9,1,11,0,3,12,6,13,8,12,9,12,10,12
8,38,"[2, 3, 1, 0, 1]",0.0,5,3,11,3,11,not_applicable,False,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,2,0,4,5,6,6,9,2,10,0,3,11,6,13,8,12,9,12,11,12
8,39,"[4, 3, 2, 0, 0]",0.0,5,3,11,3,11,shot_failed,True,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,3,0,3,5,6,7,10,2,10,1,3,11,6,13,8,11,8,12,10,12
9,40,"[4, 3, 2, 0, 0]",0.7799999713897705,5,5,13,5,13,shot_successful,True,3,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,3,5,3,7,2,8,2,10,3,5,13,6,13,7,12,7,13,8,13
10,41,"[0, 3, 2, 0, 1]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,3,5,3,7,4,7,3,10,3,4,13,6,13,7,12,7,13,10,13
10,42,"[5, 3, 3, 3, 3]",0.0,8,7,13,7,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,3,3,5,2,6,4,7,4,10,4,4,13,6,13,7,12,7,13,10,13
10,43,"[0, 2, 2, 5, 1]",0.0,5,3,13,3,13,not_applicable,False,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,3,2,5,1,6,3,7,3,9,4,3,13,6,12,7,11,7,13,11,13
